qq	0.40
qw	0.30
qe	0.30
qr	0.20
qt	0.27
qy	0.00
qu	0.00
qi	0.00
qo	0.00
qp	0.00
qa	1.20
qs	1.20
qd	1.00
qf	0.35
qg	0.49
qh	0.00
qj	0.00
qk	0.00
ql	0.00
q;	0.00
qz	2.20
qx	1.90
qc	1.50
qv	0.50
qb	0.71
qn	0.00
qm	0.00
q,	0.00
q.	0.00
q/	0.00
wq	0.30
ww	0.40
we	0.20
wr	0.20
wt	0.30
wy	0.00
wu	0.00
wi	0.00
wo	0.00
wp	0.00
wa	0.40
ws	1.20
wd	0.55
wf	0.37
wg	0.55
wh	0.00
wj	0.00
wk	0.00
wl	0.00
w;	0.00
wz	1.70
wx	2.20
wc	1.70
wv	0.54
wb	0.80
wn	0.00
wm	0.00
w,	0.00
w.	0.00
w/	0.00
eq	0.30
ew	0.20
ee	0.40
er	0.20
et	0.40
ey	0.00
eu	0.00
ei	0.00
eo	0.00
ep	0.00
ea	0.55
es	0.65
ed	1.20
ef	0.35
eg	0.70
eh	0.00
ej	0.00
ek	0.00
el	0.00
e;	0.00
ez	1.60
ex	1.90
ec	2.20
ev	0.90
eb	1.40
en	0.00
em	0.00
e,	0.00
e.	0.00
e/	0.00
rq	0.20
rw	0.20
re	0.20
rr	0.40
rt	1.20
ry	0.00
ru	0.00
ri	0.00
ro	0.00
rp	0.00
ra	0.39
rs	0.57
rd	0.95
rf	1.20
rg	1.66
rh	0.00
rj	0.00
rk	0.00
rl	0.00
r;	0.00
rz	1.78
rx	2.14
rc	2.50
rv	2.20
rb	2.54
rn	0.00
rm	0.00
r,	0.00
r.	0.00
r/	0.00
tq	0.27
tw	0.30
te	0.40
tr	1.20
tt	0.40
ty	0.00
tu	0.00
ti	0.00
to	0.00
tp	0.00
ta	0.46
ts	0.67
td	1.15
tf	1.54
tg	1.20
th	0.00
tj	0.00
tk	0.00
tl	0.00
t;	0.00
tz	1.85
tx	2.24
tc	2.70
tv	2.30
tb	2.20
tn	0.00
tm	0.00
t,	0.00
t.	0.00
t/	0.00
yq	0.00
yw	0.00
ye	0.00
yr	0.00
yt	0.00
yy	0.40
yu	1.20
yi	0.40
yo	0.30
yp	0.27
ya	0.00
ys	0.00
yd	0.00
yf	0.00
yg	0.00
yh	1.20
yj	1.68
yk	1.25
yl	0.73
y;	0.48
yz	0.00
yx	0.00
yc	0.00
yv	0.00
yb	0.00
yn	2.20
ym	2.58
y,	2.90
y.	2.36
y/	1.89
uq	0.00
uw	0.00
ue	0.00
ur	0.00
ut	0.00
uy	1.20
uu	0.40
ui	0.20
uo	0.20
up	0.20
ua	0.00
us	0.00
ud	0.00
uf	0.00
ug	0.00
uh	1.56
uj	1.20
uk	1.05
ul	0.63
u;	0.41
uz	0.00
ux	0.00
uc	0.00
uv	0.00
ub	0.00
un	2.34
um	2.20
u,	2.70
u.	2.26
u/	1.82
iq	0.00
iw	0.00
ie	0.00
ir	0.00
it	0.00
iy	0.40
iu	0.20
ii	0.40
io	0.20
ip	0.30
ia	0.00
is	0.00
id	0.00
if	0.00
ig	0.00
ih	0.50
ij	0.45
ik	1.20
il	0.55
i;	0.45
iz	0.00
ix	0.00
ic	0.00
iv	0.00
ib	0.00
in	1.00
im	1.10
i,	2.20
i.	1.70
i/	1.40
oq	0.00
ow	0.00
oe	0.00
or	0.00
ot	0.00
oy	0.30
ou	0.20
oi	0.20
oo	0.40
op	0.30
oa	0.00
os	0.00
od	0.00
of	0.00
og	0.00
oh	0.45
oj	0.43
ok	0.65
ol	1.20
o;	0.60
oz	0.00
ox	0.00
oc	0.00
ov	0.00
ob	0.00
on	0.60
om	0.66
o,	1.90
o.	2.20
o/	2.10
pq	0.00
pw	0.00
pe	0.00
pr	0.00
pt	0.00
py	0.27
pu	0.20
pi	0.30
po	0.30
pp	0.40
pa	0.00
ps	0.00
pd	0.00
pf	0.00
pg	0.00
ph	0.45
pj	0.45
pk	1.20
pl	1.40
p;	1.20
pz	0.00
px	0.00
pc	0.00
pv	0.00
pb	0.00
pn	0.63
pm	0.70
p,	1.90
p.	2.30
p/	2.20
aq	1.20
aw	0.40
ae	0.55
ar	0.39
at	0.46
ay	0.00
au	0.00
ai	0.00
ao	0.00
ap	0.00
aa	0.40
as	0.30
ad	0.30
af	0.20
ag	0.27
ah	0.00
aj	0.00
ak	0.00
al	0.00
a;	0.00
az	1.20
ax	1.20
ac	1.00
av	0.35
ab	0.49
an	0.00
am	0.00
a,	0.00
a.	0.00
a/	0.00
sq	1.20
sw	1.20
se	0.65
sr	0.57
st	0.67
sy	0.00
su	0.00
si	0.00
so	0.00
sp	0.00
sa	0.30
ss	0.40
sd	0.20
sf	0.20
sg	0.30
sh	0.00
sj	0.00
sk	0.00
sl	0.00
s;	0.00
